X;Y
0;0.00021362
-0.072377;-9,16E-01
-0.11329;0.00021362
0.39057;0.00042725
-0.32808;6,10E-01
-0.18936;0.00057983
0.69331;0.0016174
-0.58499;0.0016174
-0.15593;0.0011902
0.84418;0.0010071
-0.76508;0.00054932
-0.050733;0.00067139
0.81978;0.0016174
-0.80459;0.0014038
0.064711;0.00021362
0.64247;0.00012207
-0.6741;0.00088501
0.12624;0.0012207
0.37229;0.00094604
-0.38895;0.00027466
0.088965;0.00042725
0.08828;0.0015869
;0.0013428
;0.00045776
;0.00097656
;0.00097656
;0.00015259
;0.00079346
;0.0015564
;0.0011902
;0.0013733
;0.0016174
;0.0013123
;0.0013733
;0.0011902
;0.00073242
;0.00085449
;0.0010681
;0.0011597
;0.0011292
;0.00097656
;0.00079346
;0.00045776
;0.00030518
;0.00082397
;0.0011902
;0.0010986
;0.00097656
;0.00076294
;0.00073242
;0.00091553
;0.00039673
;0.00033569
;0.0014343
;0.0010681
;6,10E-01
;0.00079346
;0.0010071
;0.00033569
;0.00027466
;0.00033569
;0.00030518
;9,16E-01
;0.00012207
;0.00048828
;3,05E-01
;6,10E-01
;0.0011292
;0.00094604
;0.00079346
;0.0014038
;0.00076294
;0.00048828
;0.0010376
;0.00030518
;-0.00027466
;0.00054932
;0.00067139
;-9,16E-01
;0.00021362
;0.00067139
;-0.00027466
;-0.00045776
;0.0007019
;0.00042725
;-6,10E-01
;0.00061035
;-3,05E-01
;-0.00030518
;0.00082397
;0.0005188
;0.00030518
;0.0010376
;0
;-0.00039673
;0.0005188
;-0.00054932
;-0.0010376
;0.0005188
;0.00015259
;-0.00057983
;0.00018311
;-0.00073242
;-0.0016479
;-0.00024414
;-0.00015259
;-0.0011597
;-0.00042725
;-0.00030518
;-0.0011292
;-0.0007019
;-0.00039673
;-0.00076294
;-0.00057983
;-0.00042725
;-0.00073242
;-0.00057983
;0.00015259
;-0.00021362
;-0.00091553
;0.00033569
;0.00082397
;-0.00042725
;0.00054932
;0.00079346
;-0.0012512
;-0.00018311
;0.00048828
;-0.0015869
;-0.00039673
;0.00033569
;-0.0016785
;-0.00045776
;0.00039673
;-0.0014648
;-0.0005188
;0.00036621
;-0.0010681
;-0.00067139
;-6,10E-01
;-0.00076294
;6,10E-01
;0.00036621
;-0.0014648
;-0.0011902
;0.0007019
;-0.00042725
;-0.0014343
;-9,16E-01
;-0.00097656
;-0.0016174
;0.00048828
;0.00012207
;-0.00073242
;0.00018311
;-0.00048828
;-0.00021362
;0.00045776
;-0.0011902
;-0.0010681
;0.00030518
;0.00030518
;-0.00045776
;-0.0012817
;-6,10E-01
;-0.00048828
;-0.0014954
;0.0022583
;0.0017395
;-0.0014038
;0.00085449
;-0.0010681
;-0.0021667
;0.0012207
;-0.0012817
;9,16E-01
;-0.00054932
;-0.0047607
;0.003479
;-0.0021973
;-0.0056458
;0.0073853
;-0.0092163
;-0.00067139
;0.015381
;-0.026978
;0.012482
;0.030304
;-0.074493
;0.029419
;0.094208
;-0.14105
;-0.022491
;0.17905
;-0.11386
;-0.042114
;0.20529
;-0.18604
;-0.13535
;0.30658
;-0.060699
;-0.18878
;0.22879
;-0.046967
;-0.20651
;0.18973
;0.0049133
;-0.20413
;0.10345
;0.074646
;-0.088257
;0.03299
;0.043213
;-0.023315
;-0.010468
;0.027557
;0.026154
;-0.073425
;-0.0035095
;0.09964
;-0.071777
;-0.04184
;0.082397
;-0.091095
;-0.011139
;0.11154
;-0.11142
;0.00085449
;0.13715
;-0.11017
;0.0047913
;0.12067
;-0.13712
;-0.0079651
;0.11914
;-0.10913
;-0.0057068
;0.075226
;-0.11029
;0.016968
;0.093262
;-0.062836
;0.019653
;0.043732
;-0.081757
;0.0028076
;0.042236
;-0.040527
;0.0062561
;0.029266
;-0.02417
;-0.0028992
;0.023224
;-0.00354
;-0.009491
;0.014343
;0.0013123
;-0.0159
;0.022858
;0.013947
;-0.024872
;0.015625
;0.0081787
;-0.031525
;0.015686
;0.0080872
;-0.020905
;0.025757
;0.00067139
;-0.026245
;0.010834
;-0.023987
;-0.02655
;0.010986
;-0.039856
;-0.040649
;-0.012299
;-0.048676
;-0.015259
;0.0099792
;-0.022797
;0.02243
;0.028229
;-0.0031128
;0.062012
;0.066071
;0.028442
;0.066193
;0.0354
;-0.00082397
;0.04187
;0.0093079
;-0.023773
;0.006012
;-0.025696
;-0.03717
;-0.0075378
;-0.041504
;-0.046112
;-0.015747
;-0.03421
;-0.022888
;0.0025635
;-0.022614
;-0.023224
;-0.004364
;-0.013794
;-0.011536
;-0.0051575
;-0.015228
;-0.016541
;-0.011688
;-0.0062866
;-0.0010071
;-0.0019226
;0.0016174
;0.0035706
;0.00177
;0.010406
;0.010712
;0.0021057
;0.0067139
;0.006012
;-0.00073242
;0.0062561
;0.0074463
;0.0010681
;0.0062256
;0.009552
;0.0046387
;0.0062256
;0.015747
;0.019867
;0.014313
;0.015991
;0.01944
;0.007843
;0.0074463
;0.014038
;-0.0022583
;-0.0037842
;0.0084839
;-0.0094299
;-0.012939
;0.0029297
;-0.013885
;-0.016541
;0.0013733
;-0.015991
;-0.019928
;-0.00091553
;-0.01355
;-0.01474
;-0.00048828
;-0.016205
;-0.015442
;-0.0010071
;-0.016235
;-0.014343
;-0.00018311
;-0.01474
;-0.014343
;-0.00094604
;-0.010223
;-0.0081177
;0.0036316
;-0.0037537
;-0.0033264
;0.0058594
;0.0014648
;0.0011597
;0.0066223
;0.0021362
;-0.00054932
;0.0030212
;0.0014343
;-0.0018311
;-0.0015259
;-0.0015869
;-0.0024109
;-0.0026855
;-0.0028076
;-0.0028076
;-0.0030823
;-0.0019226
;0.00018311
;-0.00042725
;-0.00085449
;-0.00085449
;-0.0028687
;-0.0010681
;0.00042725
;-0.0027161
;0.00064087
;0.0032043
;-0.00088501
;0.0042419
;0.0066528
;0.00097656
;0.006897
;0.0067749
